doc_id,paragraph_idx,tokens,coarse,coarse_probs,fine,fine_probs,is_relation
nyt_00131,9,making,Contingency,0.7631,Contingency.Cause,0.828,0.8906660377979279
nyt_00139,3,That-makes,Contingency,0.6693,Contingency.Cause,0.5145,0.7975619584321976
nyt_00139,7,making,Contingency,0.9121,Contingency.Cause,0.8491,0.9384834356606007
nyt_00142,19,''-And-that-'s-why,Contingency,0.5287,None,0.478,0.6473180651664734
nyt_00143,18,giving,Contingency,0.7001,Contingency.Cause,0.7483,0.7762919217348099
nyt_00144,18,What-is-more,None,0.3574,None,0.2652,0.6425794363021851
nyt_00145,4,That-means,Contingency,0.6187,Contingency.Cause,0.517,0.7611063867807388
nyt_00148,0,ending,Contingency,0.6143,Contingency.Cause,0.6155,0.7769629508256912
nyt_00148,7,suggesting,Contingency,0.8173,Contingency.Cause,0.6913,0.9098046198487282
nyt_00155,27,creating,Contingency,0.7724,Contingency.Cause,0.7958,0.8495559692382812
nyt_00159,0,compounding,Contingency,0.6439,Contingency.Cause,0.505,0.7580540180206299
nyt_00164,2,lifted-by,Contingency,0.484,None,0.3922,0.6322298347949982
nyt_00167,4,forcing,Contingency,0.8617,Contingency.Cause,0.7716,0.9002683907747269
nyt_00172,1,killing,Contingency,0.8634,Contingency.Cause,0.7618,0.9063250496983528
nyt_00172,1,killing,Contingency,0.915,Contingency.Cause,0.8107,0.9421488828957081
nyt_00172,12,But-that-assumes,Contingency,0.4519,None,0.5564,0.6330000162124634
nyt_00192,10,representing,Contingency,0.3728,Contingency.Cause,0.3989,0.6920496821403503
nyt_00194,1,pinning,Contingency,0.5497,Contingency.Cause,0.4624,0.6516880393028259
nyt_00198,10,barring,Contingency,0.7281,Contingency.Cause,0.4016,0.778763011097908
nyt_00203,2,This-left,Contingency,0.6622,Contingency.Cause,0.629,0.8214597702026367
nyt_00208,36,ending,Contingency,0.3071,None,0.242,0.7162824273109436
nyt_00215,26,weakening,Contingency,0.5141,None,0.4406,0.6104958653450012
nyt_00218,13,That-means,Contingency,0.5792,Contingency.Cause,0.3051,0.7707042098045349
nyt_00235,7,bringing,Contingency,0.6693,Contingency.Cause,0.5212,0.7834217548370361
nyt_00236,5,Before-that,None,0.3982,None,0.3708,0.60175621509552
nyt_00239,11,causing,Contingency,0.7458,Contingency.Cause,0.7165,0.8250179439783096
nyt_00239,16,reflecting,Contingency,0.8365,Contingency.Cause,0.7759,0.8772875964641571
nyt_00241,4,suggesting,Contingency,0.7864,Contingency.Cause,0.6272,0.8812843859195709
nyt_00242,1,requiring,Contingency,0.4905,None,0.396,0.6143541932106018
nyt_00263,24,creating,Contingency,0.5293,Contingency.Cause,0.4189,0.6353370249271393
nyt_00263,45,creating,Contingency,0.6477,Contingency.Cause,0.5176,0.7194516956806183
nyt_00269,5,making,Contingency,0.9136,Contingency.Cause,0.9031,0.95006437972188
nyt_00269,16,not,Expansion,0.3509,None,0.4962,0.6645567417144775
nyt_00273,13,revealing,Contingency,0.5716,Contingency.Cause,0.4547,0.7676123678684235
nyt_00277,6,later-there,Temporal,0.4245,None,0.5355,0.6087957620620728
nyt_00283,16,This-raises,Contingency,0.5231,Contingency.Cause,0.3647,0.6274634897708893
nyt_00293,6,lowering,Contingency,0.7368,Contingency.Cause,0.3994,0.8566901087760925
nyt_00294,24,that-means,Contingency,0.7098,Contingency.Cause,0.7058,0.7676821500062943
nyt_00295,2,suggesting,Contingency,0.7829,Contingency.Cause,0.7594,0.8510679006576538
nyt_00295,11,releasing,Contingency,0.6043,Contingency.Cause,0.4676,0.674761176109314
nyt_00296,1,making,Contingency,0.9294,Contingency.Cause,0.7876,0.970396101474762
nyt_00299,37,tying,Contingency,0.6193,Contingency.Cause,0.5061,0.6955615282058716
nyt_00305,17,making,Contingency,0.7557,Contingency.Cause,0.5962,0.8451347053050995
nyt_00310,6,permitting,Contingency,0.7551,Contingency.Cause,0.5813,0.8008220791816711
nyt_00320,0,Defying,Contingency,0.5552,None,0.4384,0.6319849491119385
nyt_00326,10,restoring,Contingency,0.7298,Contingency.Cause,0.5929,0.7980836778879166
nyt_00329,0,complicating,Contingency,0.678,Contingency.Cause,0.4553,0.8278660327196121
nyt_00329,4,reflecting,Contingency,0.7356,Contingency.Cause,0.5022,0.8024777173995972
nyt_00329,7,yielding,Contingency,0.769,Contingency.Cause,0.6438,0.8271561861038208
nyt_00329,19,The-result-could,Contingency,0.5354,Contingency.Cause,0.5122,0.6226388514041901
nyt_00336,14,lessening,Contingency,0.6648,Contingency.Cause,0.4571,0.7828521728515625
nyt_00343,1,erasing,Contingency,0.6131,Contingency.Cause,0.5053,0.7791618406772614
nyt_00348,4,which-is-why,Contingency,0.6138,None,0.4502,0.686100423336029
nyt_00348,23,turning,Contingency,0.7089,Contingency.Cause,0.6996,0.7518354058265686
nyt_00368,3,which-means,Contingency,0.5,Contingency.Cause,0.5072,0.63785520195961
nyt_00368,6,making,Contingency,0.7418,Contingency.Cause,0.7066,0.8526122570037842
nyt_00369,1,triggering,Contingency,0.5482,Contingency.Cause,0.5624,0.7630517035722733
nyt_00381,4,forcing,Contingency,0.8013,Contingency.Cause,0.5939,0.8163422644138336
nyt_00385,8,meaning,Contingency,0.6013,Contingency.Cause,0.4397,0.7146070599555969
nyt_00394,0,bringing,Contingency,0.7414,Contingency.Cause,0.6826,0.8344117999076843
nyt_00394,3,forcing,Contingency,0.9127,Contingency.Cause,0.8378,0.9260359108448029
nyt_00394,16,making,Contingency,0.8467,Contingency.Cause,0.8281,0.9039216786623001
nyt_00395,5,At-the-time,Temporal,0.4594,None,0.4423,0.6380100846290588
nyt_00409,8,raising,Contingency,0.8602,Contingency.Cause,0.7684,0.9124603942036629
nyt_00411,7,making,Contingency,0.929,Contingency.Cause,0.8368,0.9738024175167084
nyt_00416,3,creating,Contingency,0.8266,Contingency.Cause,0.6788,0.8734351694583893
nyt_00417,16,not,Expansion,0.4181,None,0.2537,0.6360769867897034
nyt_00425,4,taking,Contingency,0.5797,Contingency.Cause,0.4769,0.6553575098514557
nyt_00426,10,increasing,Contingency,0.797,Contingency.Cause,0.6819,0.8905778899788857
nyt_00427,3,That-means,Contingency,0.6676,Contingency.Cause,0.4894,0.7431854009628296
nyt_00431,3,beginning,Contingency,0.6595,Contingency.Cause,0.4168,0.8316734582185745
nyt_00431,11,This-drew,Contingency,0.5227,Contingency.Cause,0.3335,0.6316476464271545
nyt_00431,12,leaving,Contingency,0.4985,Contingency.Cause,0.59,0.6140162944793701
nyt_00435,8,And-that-is-why,Contingency,0.5825,Contingency.Cause,0.4173,0.7215392589569092
nyt_00437,13,solidifying,Contingency,0.7717,Contingency.Cause,0.6229,0.8185335397720337
nyt_00441,15,creating,Contingency,0.7285,Contingency.Cause,0.7865,0.7619303464889526
nyt_00443,26,which-makes,Contingency,0.5142,Contingency.Cause,0.3332,0.6332882940769196
nyt_00454,8,allowing,Contingency,0.8104,Contingency.Cause,0.6869,0.835927426815033
nyt_00454,10,prompting,Contingency,0.6507,Contingency.Cause,0.5825,0.7736073136329651
nyt_00457,0,leaving,Contingency,0.8021,Contingency.Cause,0.8381,0.8862230852246284
nyt_00457,5,This-is-because,Contingency,0.5149,Contingency.Cause,0.3689,0.6007325053215027
nyt_00458,1,leaving,Contingency,0.5256,Contingency.Cause,0.4558,0.6500871479511261
nyt_00469,4,leading-to,Contingency,0.5268,Contingency.Cause,0.4515,0.6613137722015381
nyt_00470,17,increasing,Contingency,0.5667,None,0.3975,0.6574681103229523
nyt_00472,24,leaving,Contingency,0.8065,Contingency.Cause,0.6803,0.8739724457263947
nyt_00475,4,causing,Contingency,0.8283,Contingency.Cause,0.7606,0.884219691157341
nyt_00479,2,giving,Contingency,0.7247,Contingency.Cause,0.7449,0.7737862765789032
nyt_00485,13,raising,Contingency,0.9411,Contingency.Cause,0.8906,0.965188778936863
nyt_00487,3,making,Contingency,0.8463,Contingency.Cause,0.752,0.9187693223357201
nyt_00489,18,That-puts,Contingency,0.793,Contingency.Cause,0.6455,0.8745587021112442
nyt_00493,6,becoming,Contingency,0.5493,Contingency.Cause,0.3626,0.7059212327003479
nyt_00493,13,replacing,None,0.3858,None,0.2393,0.6141897737979889
nyt_00500,0,raising,Contingency,0.7775,Contingency.Cause,0.6806,0.8645717650651932
nyt_00501,19,not,Expansion,0.4788,None,0.5626,0.6067777276039124
nyt_00505,4,And-that-is-why,Contingency,0.5709,Contingency.Cause,0.4088,0.7504400312900543
nyt_00508,6,allowing,Contingency,0.6791,Contingency.Cause,0.7168,0.7453027963638306
nyt_00511,2,signaling,Contingency,0.5706,Contingency.Cause,0.4809,0.6473705172538757
nyt_00511,4,indicating,Contingency,0.6445,Contingency.Cause,0.5034,0.6953456401824951
nyt_00514,15,adding,Contingency,0.4525,Contingency.Cause,0.5448,0.7049965858459473
nyt_00521,15,not,Expansion,0.4916,None,0.5514,0.6058768332004547
nyt_00523,1,The-cause-was,Contingency,0.4571,None,0.5007,0.600310742855072
nyt_00527,20,allowing,Contingency,0.6379,Contingency.Cause,0.6172,0.726209431886673
nyt_00532,4,bringing,Contingency,0.7731,Contingency.Cause,0.6416,0.8421928286552429
nyt_00533,3,allowing,Contingency,0.7714,Contingency.Cause,0.8423,0.8218088150024414
nyt_00533,15,enabling,Contingency,0.5789,Contingency.Cause,0.4766,0.6518475115299225
nyt_00536,9,leaving,Contingency,0.524,Contingency.Cause,0.4655,0.6663979887962341
nyt_00540,7,The-reason-is-probably-that,None,0.3969,None,0.4828,0.6031436920166016
nyt_00553,73,One-example,Expansion,0.4135,None,0.3015,0.6246375441551208
nyt_00556,6,making,Contingency,0.7269,Contingency.Cause,0.6901,0.7797044068574905
nyt_00560,2,making,Contingency,0.6511,Contingency.Cause,0.5368,0.8180270940065384
nyt_00564,2,increasing,Contingency,0.6674,None,0.351,0.7679658234119415
nyt_00565,18,not,Expansion,0.5231,None,0.4086,0.7006528377532959
nyt_00588,2,which-makes,Contingency,0.6523,Contingency.Cause,0.4526,0.7355037927627563
nyt_00589,0,filling,Contingency,0.525,Contingency.Cause,0.3469,0.7510544806718826
nyt_00589,8,It,Contingency,0.4721,None,0.4658,0.6172667145729065
nyt_00589,8,the-reason-why,Contingency,0.6065,None,0.474,0.656285285949707
nyt_00589,10,generating,Contingency,0.8578,Contingency.Cause,0.8555,0.8746659308671951
nyt_00589,14,killing,Contingency,0.8228,Contingency.Cause,0.8101,0.896566666662693
nyt_00599,2,compounding,Contingency,0.8259,Contingency.Cause,0.6213,0.866515189409256
nyt_00606,4,giving,Contingency,0.5311,Contingency.Cause,0.3647,0.6938859820365906
nyt_00613,19,taking,Contingency,0.6213,Contingency.Cause,0.5445,0.770503431558609
nyt_00619,9,leaving,Contingency,0.7892,Contingency.Cause,0.7621,0.8701046407222748
nyt_00619,12,making,Contingency,0.8471,Contingency.Cause,0.7868,0.9226082935929298
nyt_00619,27,reversing,Contingency,0.6881,Contingency.Cause,0.4686,0.7530852556228638
nyt_00629,10,brings,Contingency,0.5301,None,0.5423,0.6005779802799225
nyt_00629,10,That-leaves-a,None,0.3977,None,0.3923,0.6023039221763611
nyt_00629,19,leaving,Contingency,0.6326,Contingency.Cause,0.5267,0.7151672840118408
nyt_00635,8,That-is-the-reason,Contingency,0.5312,Contingency.Cause,0.5802,0.6240864098072052
nyt_00637,0,ending,Contingency,0.5114,None,0.4715,0.6140418648719788
nyt_00637,16,helping,Contingency,0.6115,Contingency.Cause,0.6465,0.665494441986084
nyt_00644,3,trying,Contingency,0.431,None,0.3519,0.6359754204750061
nyt_00644,12,showing,Contingency,0.5964,Contingency.Cause,0.543,0.6910938620567322
nyt_00647,1,explaining-why,Contingency,0.5288,None,0.4139,0.6211082935333252
nyt_00648,1,trying,Contingency,0.4285,None,0.1901,0.6761562824249268
nyt_00648,14,giving,Contingency,0.8148,Contingency.Cause,0.774,0.8683014214038849
nyt_00652,13,giving,Contingency,0.6479,Contingency.Cause,0.732,0.7146948873996735
nyt_00654,9,enhancing,Contingency,0.7695,Contingency.Cause,0.6496,0.8619422912597656
nyt_00654,87,making,Contingency,0.7854,Contingency.Cause,0.7171,0.8228099495172501
nyt_00656,9,leading-to,Contingency,0.476,Contingency.Cause,0.4047,0.6239292621612549
nyt_00664,1,keeping,Contingency,0.6351,Contingency.Cause,0.5511,0.781999796628952
nyt_00670,4,saving,Contingency,0.662,Contingency.Cause,0.44,0.8062175512313843
nyt_00686,27,meaning,Contingency,0.3579,None,0.3166,0.6687405407428741
nyt_00686,32,making,Contingency,0.9493,Contingency.Cause,0.956,0.972933204844594
nyt_00687,2,adding,Contingency,0.4304,Contingency.Cause,0.2725,0.7026160955429077
nyt_00687,10,forcing,Contingency,0.7895,Contingency.Cause,0.8023,0.846990704536438
nyt_00697,18,illustrating,Contingency,0.5379,Contingency.Cause,0.4183,0.6359023451805115
nyt_00707,2,turning,Contingency,0.5597,Contingency.Cause,0.4024,0.6637732088565826
nyt_00707,13,sending,Contingency,0.6084,Contingency.Cause,0.5358,0.6745619177818298
nyt_00737,4,assuming,Contingency,0.7134,Contingency.Cause,0.3101,0.8118747174739838
nyt_00744,3,leaving,Contingency,0.56,Contingency.Cause,0.3886,0.7030092179775238
nyt_00746,5,creating,Contingency,0.6215,None,0.5868,0.6717582643032074
nyt_00752,1,not,Expansion,0.4778,None,0.5596,0.6381339132785797
nyt_00767,3,That-'s-why,Contingency,0.6339,Contingency.Cause,0.4329,0.73618084192276
nyt_00768,9,forcing,Contingency,0.5878,Contingency.Cause,0.5382,0.6275120973587036
nyt_00768,26,killing,Contingency,0.7674,Contingency.Cause,0.6083,0.8475862443447113
nyt_00768,26,injuring,None,0.3705,None,0.328,0.6295457482337952
nyt_00772,0,raising,Contingency,0.7854,Contingency.Cause,0.7601,0.8539604842662811
nyt_00776,17,That-is-why,Contingency,0.7561,Contingency.Cause,0.6787,0.818312406539917
nyt_00777,5,That-is-because,Contingency,0.7098,Contingency.Cause,0.5249,0.7532850801944733
nyt_00792,2,marking,Contingency,0.6088,Contingency.Cause,0.6435,0.6722020208835602
nyt_00820,3,completely-revolutionizing,None,0.3891,None,0.3121,0.6108653545379639
nyt_00827,14,One-reason,Contingency,0.4761,None,0.4493,0.6243818402290344
nyt_00834,8,driving,Contingency,0.7764,Contingency.Cause,0.6941,0.837452158331871
nyt_00835,8,meaning,Contingency,0.6353,Contingency.Cause,0.3979,0.7826753556728363
nyt_00837,14,joining,Contingency,0.6473,Contingency.Cause,0.5931,0.7405176758766174
nyt_00837,27,ending,Contingency,0.9408,Contingency.Cause,0.7944,0.9580093324184418
nyt_00841,1,precipitating,Contingency,0.7112,Contingency.Cause,0.5765,0.7459874153137207
nyt_00844,18,For-that-reason,Contingency,0.5409,None,0.4224,0.6777383089065552
nyt_00850,1,lighted,Contingency,0.3867,None,0.4354,0.6367968320846558
nyt_00860,5,Since-then,Temporal,0.4464,None,0.3986,0.6972452402114868
nyt_00868,2,injuring,Contingency,0.6744,Contingency.Cause,0.6919,0.8210814893245697
nyt_00873,13,That-encourages,Contingency,0.57,Contingency.Cause,0.4619,0.663760781288147
nyt_00878,4,putting,Contingency,0.9749,Contingency.Cause,0.8419,0.9824519529938698
nyt_00887,0,shrinking,Contingency,0.6672,Contingency.Cause,0.8443,0.7776846289634705
nyt_00887,8,That-opened-the-way-for,Contingency,0.4971,Contingency.Cause,0.4514,0.6111600995063782
nyt_00889,4,blocking,Contingency,0.645,Contingency.Cause,0.6838,0.717160165309906
nyt_00889,14,provided,Contingency,0.4701,None,0.2429,0.7107067406177521
nyt_00897,9,permitting,Contingency,0.6349,Contingency.Cause,0.4297,0.7030913829803467
nyt_00900,12,suggesting,Contingency,0.7988,Contingency.Cause,0.5853,0.8533659130334854
nyt_00900,15,That-leaves,Contingency,0.6505,Contingency.Cause,0.6698,0.8096556663513184
nyt_00915,10,meaning,Contingency,0.5679,Contingency.Cause,0.3992,0.7751952409744263
nyt_00915,16,helping,Contingency,0.4979,Contingency.Cause,0.2869,0.6199662983417511
nyt_00922,0,forcing,Contingency,0.6897,Contingency.Cause,0.9156,0.7226440608501434
nyt_00922,14,giving,Contingency,0.7415,Contingency.Cause,0.6689,0.8097286522388458
nyt_00939,5,allowing,Contingency,0.6821,Contingency.Cause,0.6589,0.7760622501373291
nyt_00948,8,creating,Contingency,0.7504,Contingency.Cause,0.7165,0.8313111662864685
nyt_00951,5,enabling,Contingency,0.6098,Contingency.Cause,0.5126,0.7016028463840485
nyt_00951,12,reducing,Contingency,0.6372,Contingency.Cause,0.5786,0.7790864706039429
nyt_00961,33,leaving,Contingency,0.4924,Contingency.Cause,0.4172,0.6338293552398682
nyt_00963,4,putting,Contingency,0.8627,Contingency.Cause,0.8555,0.9053831547498703
nyt_00963,14,suggesting,Contingency,0.7495,Contingency.Cause,0.5665,0.8041852712631226
nyt_00966,12,It-leads-to,Contingency,0.464,None,0.5173,0.634539008140564
nyt_00969,2,enabling,Contingency,0.72,Contingency.Cause,0.4674,0.7743700295686722
nyt_00984,13,This-is-why,Contingency,0.5235,Contingency.Cause,0.446,0.6963230669498444
nyt_00984,15,leading-to,Contingency,0.5872,None,0.3123,0.7273804247379303
nyt_00985,0,pushing,Contingency,0.6346,Contingency.Cause,0.5507,0.7033267319202423
nyt_00987,7,supplementing,Contingency,0.4657,None,0.4155,0.6973681449890137
nyt_00992,23,That-was-only,None,0.3566,None,0.4217,0.6433533728122711
nyt_01000,6,generating,Contingency,0.8603,Contingency.Cause,0.7182,0.889872208237648
nyt_01003,9,not,Expansion,0.4406,None,0.4008,0.6104705631732941
nyt_01004,8,After-that,None,0.3893,None,0.3304,0.6106601357460022
nyt_01008,2,prompting,Contingency,0.779,Contingency.Cause,0.7247,0.8280702978372574
nyt_01015,20,leading,Contingency,0.6457,Contingency.Cause,0.5679,0.7660773545503616
nyt_01017,0,filling,Contingency,0.5382,Contingency.Cause,0.4118,0.6996294856071472
nyt_01021,18,leaving,Contingency,0.5944,Contingency.Cause,0.7408,0.7212155163288116
nyt_01022,11,That-means,Contingency,0.7193,Contingency.Cause,0.6336,0.7802544832229614
nyt_01026,5,That-leaves,Contingency,0.6191,Contingency.Cause,0.4742,0.7749158889055252
nyt_01032,22,alienating,Contingency,0.6738,Contingency.Cause,0.6189,0.7407029867172241
nyt_01036,7,making,Contingency,0.8032,Contingency.Cause,0.746,0.8572932779788971
nyt_01041,1,enraging,Contingency,0.6541,Contingency.Cause,0.4428,0.7957614958286285
nyt_01051,9,Which-means,Contingency,0.4874,Contingency.Cause,0.5401,0.7652095556259155
nyt_01060,0,blocking,Contingency,0.7001,Contingency.Cause,0.5404,0.7828354388475418
nyt_01068,18,suggesting,Contingency,0.8414,Contingency.Cause,0.6243,0.9213614016771317
nyt_01068,18,reflecting,Contingency,0.7962,Contingency.Cause,0.8016,0.9070950746536255
nyt_01077,10,giving,Contingency,0.7011,Contingency.Cause,0.7661,0.7756887227296829
nyt_01078,0,leaving,Contingency,0.8643,Contingency.Cause,0.8006,0.942445520311594
nyt_01081,16,eliminating,Contingency,0.5254,Contingency.Cause,0.4882,0.6924483180046082
nyt_01085,12,provided,Contingency,0.5389,None,0.3141,0.718241423368454
nyt_01085,12,giving,Contingency,0.8624,Contingency.Cause,0.868,0.9123051166534424
nyt_01087,0,This-prevents,Contingency,0.5781,Contingency.Cause,0.5214,0.6408553123474121
nyt_01091,70,accelerating,Contingency,0.8228,Contingency.Cause,0.6948,0.8679578900337219
nyt_01100,6,reducing,Contingency,0.9201,Contingency.Cause,0.851,0.9428190477192402
nyt_01108,26,meaning,Contingency,0.6678,Contingency.Cause,0.564,0.7905718684196472
nyt_01108,40,Assuming,Contingency,0.5159,None,0.3012,0.7169935703277588
nyt_01110,1,not,Expansion,0.3917,None,0.2973,0.6183602213859558
nyt_01117,2,Since-then,Temporal,0.5364,None,0.5199,0.7018634080886841
nyt_01117,5,Bothered-by,Contingency,0.4961,None,0.5534,0.6115763783454895
nyt_01123,3,hastening,Contingency,0.5062,Contingency.Cause,0.508,0.6170000433921814
nyt_01127,22,''-Which-is-why,Contingency,0.5101,Contingency.Cause,0.4488,0.6954602003097534
nyt_01128,5,making,Contingency,0.7504,Contingency.Cause,0.6642,0.7884364128112793
nyt_01133,0,trying,Contingency,0.3843,None,0.3428,0.6312029659748077
nyt_01133,19,bringing,Contingency,0.9051,Contingency.Cause,0.8176,0.9497844316065311
nyt_01135,12,Before-that,Temporal,0.3472,None,0.3114,0.6736445724964142
nyt_01141,6,which-makes,Contingency,0.5606,Contingency.Cause,0.4288,0.6862839758396149
nyt_01143,12,giving,Contingency,0.695,Contingency.Cause,0.5801,0.8325627744197845
nyt_01144,2,reflecting,Contingency,0.9534,Contingency.Cause,0.8377,0.9768050648272038
nyt_01144,25,prompting,Contingency,0.7555,Contingency.Cause,0.77,0.8402760028839111
nyt_01145,0,kindling,Contingency,0.5875,Contingency.Cause,0.462,0.7495555877685547
nyt_01147,2,Which-is-why-he,Contingency,0.4982,Contingency.Cause,0.3856,0.635789304971695
nyt_01149,2,It-would-suggest,Contingency,0.4511,None,0.3408,0.6218553185462952
nyt_01161,4,dropping,Contingency,0.6343,Contingency.Cause,0.359,0.7747067213058472
nyt_01161,10,leaving,Contingency,0.6744,Contingency.Cause,0.6012,0.7989958077669144
nyt_01163,1,That-is-because,Contingency,0.6316,Contingency.Cause,0.4836,0.7314919531345367
nyt_01163,6,Echoing,Contingency,0.5625,Contingency.Cause,0.4783,0.7233482897281647
nyt_01163,13,killing,Contingency,0.6487,Contingency.Cause,0.6932,0.7007953524589539
nyt_01174,10,provided,Contingency,0.4487,None,0.274,0.6517693996429443
nyt_01178,3,adding,None,0.395,None,0.4556,0.6050400733947754
nyt_01181,117,guaranteeing,Contingency,0.4496,None,0.3095,0.6157994866371155
nyt_01181,117,making,Contingency,0.9435,Contingency.Cause,0.9061,0.9741059802472591
nyt_01184,6,indicating,Contingency,0.7077,Contingency.Cause,0.6699,0.7656558305025101
nyt_01184,10,let-alone,None,0.3849,None,0.2834,0.6151115000247955
nyt_01195,17,That-meant,Contingency,0.5322,Contingency.Cause,0.4529,0.6936520338058472
nyt_01201,3,stretching,Contingency,0.7137,Contingency.Cause,0.4779,0.7711478471755981
nyt_01208,5,That-has-reduced,Contingency,0.6329,Contingency.Cause,0.508,0.7287182211875916
nyt_01218,31,providing,Contingency,0.8132,Contingency.Cause,0.777,0.9137509912252426
nyt_01218,58,making,Contingency,0.8915,Contingency.Cause,0.8291,0.9357173591852188
nyt_01218,102,taking,Contingency,0.6302,Contingency.Cause,0.4541,0.7724142670631409
nyt_01221,20,trying,Contingency,0.4472,None,0.5031,0.6047712862491608
nyt_01229,2,leaving,Contingency,0.7664,Contingency.Cause,0.6177,0.8402481228113174
nyt_01230,4,That-leaves,Contingency,0.4222,Contingency.Cause,0.1643,0.7545433342456818
nyt_01232,4,resulting-in,Contingency,0.6501,Contingency.Cause,0.601,0.721048504114151
nyt_01233,1,only-to,Temporal,0.4453,None,0.3106,0.6274426281452179
nyt_01241,11,forcing,Contingency,0.6,Contingency.Cause,0.4546,0.681115448474884
nyt_01246,6,suggesting,Contingency,0.7104,Contingency.Cause,0.4874,0.8317045867443085
nyt_01255,17,not,Expansion,0.4931,None,0.4145,0.6235186457633972
nyt_01255,20,choking,Contingency,0.5322,Contingency.Cause,0.414,0.7042686343193054
nyt_01258,6,killing,Contingency,0.8442,Contingency.Cause,0.7398,0.9030856564640999
nyt_01258,6,wounding,Contingency,0.6126,Contingency.Cause,0.5432,0.6974621117115021
nyt_01258,20,turning,Contingency,0.5905,Contingency.Cause,0.5541,0.682458907365799
nyt_01260,0,ending,Contingency,0.6697,Contingency.Cause,0.5659,0.7697840481996536
nyt_01263,8,indicating,Contingency,0.6758,Contingency.Cause,0.522,0.7849304378032684
nyt_01276,1,increasing,Contingency,0.9131,Contingency.Cause,0.8936,0.9289412796497345
nyt_01279,19,making,Contingency,0.7507,Contingency.Cause,0.5553,0.8489563763141632
nyt_01279,25,proving,Contingency,0.7812,Contingency.Cause,0.6908,0.8957459777593613
nyt_01289,2,leaving,Contingency,0.8368,Contingency.Cause,0.5299,0.9228555783629417
nyt_01302,11,By-then,Temporal,0.4432,None,0.5539,0.6170156598091125
nyt_01306,60,That-reflected,Contingency,0.7058,Contingency.Cause,0.3442,0.8054928779602051
nyt_01308,3,forcing,Contingency,0.6801,Contingency.Cause,0.5333,0.723685085773468
nyt_01316,17,which-is-why,Contingency,0.604,Contingency.Cause,0.53,0.674219012260437
nyt_01323,3,trying,Contingency,0.6303,None,0.3687,0.7530664503574371
nyt_01323,19,That-is-why,Contingency,0.4395,Contingency.Cause,0.4246,0.6225982904434204
nyt_01325,9,allowing,Contingency,0.7077,Contingency.Cause,0.5545,0.7881441712379456
nyt_01341,0,The-reason,Contingency,0.5847,Contingency.Cause,0.5131,0.7174790501594543
nyt_01341,13,causing,Contingency,0.7357,Contingency.Cause,0.672,0.8086670637130737
nyt_01348,0,making,Contingency,0.4985,Contingency.Cause,0.4247,0.6548271775245667
nyt_01350,20,limiting,Contingency,0.8044,Contingency.Cause,0.8701,0.8879895955324173
nyt_01364,21,helping,Contingency,0.5707,Contingency.Cause,0.4598,0.6558230519294739
nyt_01367,6,preventing,Contingency,0.5727,Contingency.Cause,0.5952,0.7405428886413574
nyt_01377,11,That-is-why,Contingency,0.512,Contingency.Cause,0.3886,0.7473061084747314
nyt_01378,4,which-may-explain-why,Contingency,0.5897,Contingency.Cause,0.4905,0.7132840752601624
nyt_01383,9,At-first,None,0.3977,None,0.5458,0.6023487150669098
